APP,CATEGORY,DESCRIPTION,AUTH_METHODS,AUTH_EVIDENCE,ACCESS_MODEL,ACCESS_NOTES,ACCESS_EVIDENCE,API_TYPES,API_BREADTH,API_NOTES,API_EVIDENCE,MCP_STATUS,MCP_EVIDENCE,BUILDABILITY,MAIN_BLOCKER,CONFIDENCE,NEEDS_HUMAN_REVIEW,REVIEW_FLAGS,SOURCES,PIPELINE_VERSION,RESEARCH_DATE
Bright Data,Data SEO and Scraping,"Bright Data is a large-scale web-data/proxy platform offering scraping APIs, proxy networks, and pre-built dataset access.",API_KEY,https://docs.brightdata.com/api-reference/authentication,SELF_SERVE_TRIAL,"Self-serve signup; the MCP server specifically advertises a free plan to start, while the core proxy/scraping infrastructure is usage-priced beyond a trial.",https://brightdata.com/ai/mcp-server; https://brightdata.com/pricing/mcp-server,REST,BROAD,"Web Unlocker/scraping APIs, proxy network management, and dozens of pre-built site-specific data collectors (LinkedIn, Indeed, Facebook Marketplace, etc.).",https://docs.brightdata.com/products/mcp-server/overview,OFFICIAL,https://docs.brightdata.com/products/mcp-server/overview; https://brightdata.com/ai/mcp-server,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://docs.brightdata.com/api-reference/authentication; https://docs.brightdata.com/products/mcp-server/overview,v2,2026-09-16
Clay,Data SEO and Scraping,"Clay is a GTM data-enrichment and workflow automation tool that lets users pull in 75+ data providers and build outbound workflows in a spreadsheet-like interface, with an HTTP API integration feature and an official MCP server.",API_KEY; TOKEN,https://university.clay.com/docs/http-api-integration-overview,UNCLEAR,Clay's HTTP API is a feature inside the product (used to connect external tools into a Clay table) rather than a conventional public developer API for building third-party toolkits against Clay itself; which pricing tiers include it was not confirmed from official docs.,https://university.clay.com/docs/http-api-integration-overview,REST; OTHER,NARROW,"The HTTP API integration is primarily inbound/outbound data-connection tooling for Clay's own tables, not a full object-model API for managing Clay itself; MCP is the more agent-relevant surface (see MCP fields).",https://university.clay.com/docs/http-api-integration-overview,OFFICIAL,https://www.clay.com/mcp; https://university.clay.com/docs/mcp-settings,NEEDS_REVIEW,Clay's core product surface is workflow/enrichment automation rather than a conventional REST object model; the official MCP is the more meaningful agent-integration path but its scope (running existing Clay workflows vs. general CRUD) differs from most other apps in this dataset and needs a human judgment call on fit.,LOW,TRUE,ACCESS_UNCLEAR; CONDITIONAL_ACCESS; LOW_CONFIDENCE,https://university.clay.com/docs/http-api-integration-overview; https://www.clay.com/mcp,v2,2026-09-16
ClickUp,Productivity and Project Management,"ClickUp is an all-in-one productivity/project-management platform with a REST API for tasks, lists, and docs.",OAUTH2; TOKEN,https://developer.clickup.com/docs/authentication,SELF_SERVE_FREE,"Personal API tokens or OAuth2 apps are self-serve for any ClickUp workspace, including the free plan.",https://developer.clickup.com/docs/Getting%20Started,REST,BROAD,"Tasks, lists, folders, docs, goals, and time tracking.",https://developer.clickup.com/docs/Getting%20Started,OFFICIAL,https://help.clickup.com/hc/en-us/articles/33335772678423-What-is-ClickUp-MCP; https://feedback.clickup.com/public-api/p/clickup-mcp-server-first-party-and-official,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://developer.clickup.com/docs/authentication; https://help.clickup.com/hc/en-us/articles/33335772678423-What-is-ClickUp-MCP,v2,2026-09-16
Close,CRM and Sales,"Close is a sales CRM built for inside-sales teams, with a REST API for leads, contacts, calls, and pipeline data.",API_KEY; OAUTH2,https://developer.close.com/api/overview/api-key-authentication,SELF_SERVE_FREE,"API keys are self-generated from account Settings -> Developer -> API Keys, no support/approval step, works immediately.",https://developer.close.com/api/overview/api-key-authentication,REST,MODERATE,"Leads, contacts, opportunities, calls/SMS activity, and custom fields.",https://developer.close.com/api,OFFICIAL,https://developer.close.com/mcp,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://developer.close.com/api/overview/api-key-authentication; https://developer.close.com/mcp,v2,2026-09-16
Cloudflare,Developer Infra and Data Platforms,"Cloudflare is a CDN/security/edge-compute platform with a REST API covering DNS, Workers, security settings, and more.",API_KEY; TOKEN,https://developers.cloudflare.com/fundamentals/api/get-started/create-token/,SELF_SERVE_FREE,"Scoped API tokens (recommended) or the legacy global API key are self-generated from the dashboard for any account, including the free plan.",https://developers.cloudflare.com/fundamentals/api/get-started/,REST,BROAD,"DNS, Workers, R2 storage, Zero Trust/Access, and security/firewall settings across a large product suite.",https://developers.cloudflare.com/api/overview,OFFICIAL,https://developers.cloudflare.com/agents/model-context-protocol/cloudflare/servers-for-cloudflare/,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://developers.cloudflare.com/fundamentals/api/get-started/create-token/; https://developers.cloudflare.com/agents/model-context-protocol/cloudflare/servers-for-cloudflare/,v2,2026-09-16
Coda,Productivity and Project Management,"Coda is a docs-meets-spreadsheet-meets-app platform with a REST API for docs, tables, and rows, plus a Pack SDK for building integrations.",API_KEY; OAUTH2,https://coda.io/developers/apis/v1; https://coda.io/packs/build/latest/guides/basics/authentication/oauth2/,SELF_SERVE_FREE,"API tokens are self-generated from account settings for any Coda account, including the free plan.",https://coda.io/developers,REST,MODERATE,"Docs, tables, rows/columns, and an Admin API for org-level management; the Pack SDK is a separate mechanism for building custom integrations inside Coda docs.",https://coda.io/developers/apis/v1,NONE_FOUND,,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://coda.io/developers/apis/v1; https://coda.io/developers,v2,2026-09-16
Consensus,AI Research and Media-native,"Consensus is an AI-powered academic search engine over 220+ million peer-reviewed papers, with a REST API for search and evidence retrieval.",API_KEY,https://docs.consensus.app/api-get-started,SELF_SERVE_FREE,API keys are self-generated from the account's API & MCP Dashboard with no approval step. Some capabilities (e.g. returning full-text passage chunks) are gated to paid plans.,https://docs.consensus.app/api-get-started,REST,BROAD,"Single search endpoint returning titles, authors, journals, publication years, citation counts, and (on paid plans) full-text passage matches across 220M+ papers.",https://docs.consensus.app/api-get-started,OFFICIAL,https://docs.consensus.app/docs/mcp; https://mcpservers.org/remote-mcp-servers/consensus,READY,,LOW,TRUE,CONDITIONAL_ACCESS; LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://docs.consensus.app/api-get-started; https://docs.consensus.app/docs/mcp,v2,2026-09-16
Copper,CRM and Sales,"Copper is a CRM built for Google Workspace users, with a REST API for leads, people, companies, and opportunities.",API_KEY; OAUTH2,https://developer.copper.com/introduction/authentication.html,UNCLEAR,"API keys are generated from standard account System Settings, suggesting self-serve, but official docs did not explicitly confirm whether API access requires a specific paid plan tier -- left UNCLEAR rather than guessed.",https://developer.copper.com/introduction/authentication.html,REST,MODERATE,"Leads, people, companies, opportunities, tasks -- standard CRM object set.",https://developer.copper.com/,NONE_FOUND,,NEEDS_REVIEW,Access model (plan-tier dependency for API access) not confirmed from official sources.,LOW,TRUE,ACCESS_UNCLEAR; LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://developer.copper.com/introduction/authentication.html; https://developer.copper.com/,v2,2026-09-16
Datadog,Developer Infra and Data Platforms,"Datadog is an observability/monitoring platform with a REST API for metrics, logs, monitors, and dashboards.",API_KEY,https://docs.datadoghq.com/api/latest/authentication/,SELF_SERVE_TRIAL,A 14-day free trial gives full API access self-serve; sustained use requires a paid Datadog plan.,https://docs.datadoghq.com/api/latest/key-management/,REST,BROAD,"Metrics, logs, monitors, dashboards, incidents, and a very large product-spanning API surface.",https://docs.datadoghq.com/api/latest/,OFFICIAL,https://github.com/datadog-labs/mcp-server,FEASIBLE_WITH_SETUP,Full ongoing use requires a paid subscription beyond the trial period.,LOW,TRUE,CONDITIONAL_ACCESS; LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://docs.datadoghq.com/api/latest/authentication/; https://github.com/datadog-labs/mcp-server,v2,2026-09-16
DataForSEO,Data SEO and Scraping,"DataForSEO is a pay-as-you-go SEO/SERP data API provider (keyword data, backlinks, SERP results, on-page analysis).",BASIC,https://docs.dataforseo.com/v3/auth/,PAID,"Account creation is free, but the API itself is strictly pay-as-you-go with no meaningful free usage tier -- you fund an account balance before making calls (third-party pricing summaries cite plans starting around $50).",https://dataforseo.com/pricing,REST,BROAD,"SERP, keyword research (Labs), backlinks, on-page, and domain analytics endpoints -- a wide SEO data surface.",https://docs.dataforseo.com/v3/dataforseo_labs-overview/,COMMUNITY,https://apify.com/santhej/dataforseo-mcp-server,FEASIBLE_WITH_SETUP,"No free usage tier -- every call requires a funded, paid account balance.",MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://docs.dataforseo.com/v3/auth/; https://dataforseo.com/pricing,v2,2026-09-16
DealCloud,CRM and Sales,"DealCloud (an Intapp product) is a deal-management and CRM platform for investment banks, private equity, and M&A advisory firms, with a REST API.",OAUTH2,https://api.docs.dealcloud.com/docs/token,CONTACT_SALES,"API key generation requires an existing DealCloud account with API permissions specifically enabled by an org admin, and the docs point users needing help to their 'DealCloud Customer Success Manager' -- this is an existing-enterprise-client workflow. No public pricing, free trial, or self-serve signup page was found; DealCloud is sold as enterprise software (Intapp) to investment banking/PE/M&A firms.",https://api.docs.dealcloud.com/docs/apikeys,REST,MODERATE,"Deal/company/contact records and user-management APIs, with official Python/other SDKs.",https://api.docs.dealcloud.com/docs,NONE_FOUND,,GATED,Enterprise-only product with no public self-serve signup; API access requires being an existing paying client with admin-enabled permissions.,LOW,TRUE,CONDITIONAL_ACCESS; LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://api.docs.dealcloud.com/docs/apikeys; https://api.docs.dealcloud.com/docs/token; https://api.docs.dealcloud.com/docs,v2,2026-09-16
Devin,AI Research and Media-native,"Devin (by Cognition) is an autonomous AI software engineer with an Organization API for sessions, knowledge, and playbooks, plus a separate Enterprise API.",TOKEN,https://docs.devin.ai/api-reference/overview,PAID,"Cognition's own blog confirms 'self-serve plans for Devin', meaning signup and API key generation happen without a sales process, but Devin is a paid product (no free tier found) -- so API use requires an active paid plan. The Enterprise API tier (cross-org analytics, billing, audit logs) is further restricted to enterprise customers.",https://cognition.com/blog/new-self-serve-plans-for-devin; https://docs.devin.ai/api-reference/overview,REST,MODERATE,"Organization API: sessions, knowledge, playbooks, secrets, resource management. Enterprise API: cross-org analytics, audit logs, user management, billing.",https://docs.devin.ai/api-reference/overview,OFFICIAL,https://docs.devin.ai/work-with-devin/devin-mcp,FEASIBLE_WITH_SETUP,Requires an active paid Devin plan; no free tier found.,LOW,TRUE,CONDITIONAL_ACCESS; LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://docs.devin.ai/api-reference/overview; https://docs.devin.ai/work-with-devin/devin-mcp; https://cognition.com/blog/new-self-serve-plans-for-devin,v2,2026-09-16
Discord,Communications and Messaging,"Discord is a community/chat platform with a REST API for bots, messages, servers (guilds), and an OAuth2 identity layer.",OAUTH2; TOKEN,https://docs.discord.com/developers/topics/oauth2,SELF_SERVE_FREE,Creating a Discord application and bot token is free and self-serve via the Developer Portal.,https://docs.discord.com/developers/topics/oauth2,REST,BROAD,"Guilds/servers, channels, messages, members, roles, and a large gateway/events surface for bots.",https://docs.discord.com/developers/topics/oauth2,COMMUNITY,https://github.com/SaseQ/discord-mcp; https://github.com/hanweg/mcp-discord,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://docs.discord.com/developers/topics/oauth2,v2,2026-09-16
Ecwid,Ecommerce,"Ecwid (by Lightspeed) is an embeddable ecommerce platform with a REST API for products, orders, and store data.",OAUTH2; TOKEN,https://api-docs.ecwid.com/reference/authentication-basics,SELF_SERVE_FREE,Public documentation and a free Ecwid plan exist; app/token creation is self-serve through the developer docs.,https://docs.ecwid.com/get-started/make-your-first-api-request,REST,MODERATE,"Products, categories, orders, and storefront customization endpoints.",https://api-docs.ecwid.com/reference/rest-api,NONE_FOUND,,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://api-docs.ecwid.com/reference/authentication-basics; https://docs.ecwid.com/get-started/make-your-first-api-request,v2,2026-09-16
fanbasis,Ecommerce,FanBasis is a checkout/creator-monetization and sales-CRM platform providing a checkout SDK and API for payment/subscriber flows.,UNCLEAR,,UNCLEAR,"The official docs subdomain (dev-docs.fanbasis.com) is login-gated -- no publicly readable description of the product, auth method, or access process was available in this pass. A public npm package (@fanbasis/checkout-sdk) exists, suggesting some public tooling, but the core API documentation itself could not be read.",https://dev-docs.fanbasis.com/,UNCLEAR,UNCLEAR,Could not confirm API breadth -- primary docs are behind a login wall.,,NONE_FOUND,,NEEDS_REVIEW,"Primary developer documentation is login-gated; could not verify auth method, access model, or API breadth from public sources.",LOW,TRUE,ACCESS_UNCLEAR; API_UNCLEAR; AUTH_UNCLEAR; LOW_CONFIDENCE; NO_OFFICIAL_SOURCE; SOURCE_NOT_VERIFIED,https://dev-docs.fanbasis.com/; https://www.npmjs.com/package/@fanbasis/checkout-sdk,v2,2026-09-16
Fathom,AI Research and Media-native,"Fathom is an AI meeting notetaker/transcription tool with a public REST API for meeting recordings, transcripts, and summaries.",API_KEY; OAUTH2,https://help.fathom.video/en/articles/8368641; https://developers.fathom.ai/,SELF_SERVE_FREE,Fathom's help center confirms a public API that anyone can browse and start building with immediately using a self-generated API key; OAuth is offered separately for developers building integrations meant for broader/marketplace distribution.,https://help.fathom.video/en/articles/8368641,REST,MODERATE,"Meeting recordings, transcripts, and summaries accessible by the API key owner or their team.",https://developers.fathom.ai/,OFFICIAL,https://developers.fathom.ai/mcp-docs; https://help.fathom.video/en/articles/11497793,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://help.fathom.video/en/articles/8368641; https://developers.fathom.ai/,v2,2026-09-16
Firecrawl,Data SEO and Scraping,"Firecrawl is a web-scraping/crawling API built for feeding LLMs and agents clean page content, with search and crawl endpoints.",API_KEY; NONE_FOUND,https://docs.firecrawl.dev/introduction; https://www.firecrawl.dev/blog/firecrawl-keyless-launch,SELF_SERVE_FREE,"Free tier with an API key is standard; a 'Keyless' mode was also launched for limited search/scrape without an API key at all, per Firecrawl's own announcement.",https://www.firecrawl.dev/blog/firecrawl-keyless-launch; https://www.firecrawl.dev/pricing,REST,MODERATE,"Scrape, crawl, map, and search endpoints returning LLM-ready markdown/structured content.",https://docs.firecrawl.dev/introduction,OFFICIAL,https://www.firecrawl.dev/use-cases/ai-mcps; https://github.com/firecrawl,NEEDS_REVIEW,"[auto-flag] original verdict was READY: BUILDABILITY=READY but AUTH_METHODS=['API_KEY', 'NONE_FOUND'] is not documented",LOW,TRUE,BUILDABILITY_CONTRADICTION; LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://docs.firecrawl.dev/introduction; https://www.firecrawl.dev/use-cases/ai-mcps,v2,2026-09-16
Freshdesk,Support and Helpdesk,"Freshdesk is a customer support ticketing platform (Freshworks) with a REST API for tickets, contacts, and agents.",API_KEY,https://support.freshdesk.com/en/support/solutions/articles/50000003346-api-key-based-authentication,SELF_SERVE_FREE,"API key is visible directly on each agent's profile page; Freshdesk has a free tier and free trial, both give API access.",https://support.freshdesk.com/support/solutions/articles/215517-how-to-find-your-api-key,REST,MODERATE,"Tickets, contacts, companies, agents, and canned responses.",https://support.freshdesk.com/en/support/solutions/articles/50000003346-api-key-based-authentication,COMMUNITY,https://www.pulsemcp.com/servers/effytech-freshdesk,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://support.freshdesk.com/en/support/solutions/articles/50000003346-api-key-based-authentication,v2,2026-09-16
Front,Support and Helpdesk,"Front is a shared-inbox customer communication platform with a REST API for conversations, messages, and contacts.",API_KEY; OAUTH2,https://dev.frontapp.com/docs/authentication,SELF_SERVE_FREE,API tokens self-generated from account settings; official docs describe direct token creation with no approval step.,https://dev.frontapp.com/docs/authentication,REST,MODERATE,"Conversations, messages, contacts, inboxes, and tags.",https://dev.frontapp.com/reference/introduction,OFFICIAL,https://dev.frontapp.com/docs/mcp-server; https://help.front.com/en/articles/4883136,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://dev.frontapp.com/docs/authentication; https://dev.frontapp.com/docs/mcp-server,v2,2026-09-16
GitHub,Developer Infra and Data Platforms,"GitHub is a code hosting and collaboration platform with a broad REST/GraphQL API for repos, issues, pull requests, and Actions.",OAUTH2; TOKEN,https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api; https://docs.github.com/en/rest/apps/oauth-applications,SELF_SERVE_FREE,"Personal access tokens and OAuth apps are self-serve for any GitHub account, free tier included.",https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api,REST; GRAPHQL,BROAD,"Repos, issues, pull requests, Actions, organizations, and packages -- one of the most comprehensive developer-platform APIs.",https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api,OFFICIAL,https://github.com/github/github-mcp-server,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api; https://github.com/github/github-mcp-server,v2,2026-09-16
Gladly,Support and Helpdesk,"Gladly is an enterprise customer-service platform built around a person-centric (not ticket-centric) model, with a REST API.",TOKEN,https://help.gladly.com/developer-tutorials/docs/authentication,UNCLEAR,"API tokens are documented, but no public pricing, free trial, or self-serve signup was found -- Gladly is positioned as an enterprise CX platform typically sold via sales-led onboarding, but this was not directly confirmed from an official access/pricing page in this pass.",https://help.gladly.com/implementation/docs/get-your-api-tokens,REST,MODERATE,"Documented App Platform with REST API and installable apps, centered on the person/conversation object model.",https://developer.gladly.com/rest/,NONE_FOUND,,NEEDS_REVIEW,Access model (self-serve vs. sales-led onboarding) not confirmed from an official pricing/access page.,LOW,TRUE,ACCESS_UNCLEAR; LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://help.gladly.com/developer-tutorials/docs/authentication; https://developer.gladly.com/rest/,v2,2026-09-16
GoHighLevel,Marketing Ads Email and Social,"GoHighLevel (HighLevel) is an all-in-one sales/marketing CRM platform (agency-focused) with a public REST API (v2, branded LeadConnector).",OAUTH2,https://marketplace.gohighlevel.com/docs/,SELF_SERVE_FREE,"Public API docs and OAuth app registration are openly available via the Marketplace developer portal; a GoHighLevel/sub-account is needed to test against, but no separate approval gate found for API access itself.",https://marketplace.gohighlevel.com/docs/,REST,BROAD,"Contacts, opportunities, calendars, conversations, payments, and marketplace-app object model -- a wide surface reflecting the all-in-one product.",https://github.com/GoHighLevel/highlevel-api-docs,OFFICIAL,https://marketplace.gohighlevel.com/docs/other/mcp,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://marketplace.gohighlevel.com/docs/; https://marketplace.gohighlevel.com/docs/other/mcp,v2,2026-09-16
